"session_id","fullscreen","hq","music","hover_duration","n_actions","elapsed_time","n_event_name","n_name","n_fqid","n_room_fqid","n_text_fqid","n_notebook_click","n_object_hover","n_map_hover","n_cutscene_click","n_person_click","n_navigate_click","n_observation_click","n_notification_click","n_object_click","n_map_click","n_page1","n_page0","n_historicalsociety","n_kohlcenter","n_capitol","correctness","q1","q2","q3"
"20090315170769824",0,0,1,10040,158,272762,11,4,24,7,12,4,3,1,27,18,53,1,5,43,2,2,2,83,73,2,1,1,1,1
"20090315270479452",0,0,1,3541,171,127836,10,4,22,6,11,4,2,2,49,18,67,0,5,21,2,2,2,140,29,2,0.666666666666667,0,1,1
"20090316152177500",0,0,1,15901,202,540998,11,4,31,7,19,7,3,4,27,27,108,4,8,11,2,2,5,169,31,2,1,1,1,1
"20090316190523732",0,0,1,24969,138,204217,10,3,26,6,17,0,7,2,34,22,48,1,9,12,2,0,0,110,26,2,1,1,1,1
"20090317080721164",0,0,1,12825,152,328805,11,4,26,7,15,2,3,2,27,19,65,3,8,20,2,0,2,106,44,2,0.333333333333333,0,0,1
"20090317111400710",0,0,1,71845,238,825037,10,3,28,7,17,0,9,3,29,22,124,7,11,30,2,0,0,185,51,2,1,1,1,1
"20090317414400068",0,0,1,13080,132,327643,10,4,21,6,12,12,6,2,30,18,46,0,6,9,2,3,9,99,31,2,1,1,1,1
"20090318021527530",0,0,1,27021,191,255597,10,3,26,7,16,0,5,2,36,19,99,5,9,13,2,0,0,137,52,2,0.666666666666667,0,1,1
"20090318322359292",0,0,1,15942,166,391693,10,4,27,6,16,6,7,0,30,21,69,2,5,23,2,0,6,125,39,2,1,1,1,1
"20090318541618010",0,0,1,18031,170,316960,11,4,27,7,18,8,4,6,33,19,69,6,6,15,3,2,6,125,41,4,1,1,1,1
"20090319012741024",0,0,1,23202,215,373434,10,4,29,7,20,4,6,0,32,22,105,5,9,29,2,0,4,160,51,4,0.333333333333333,0,1,0
"20090320140443148",0,0,1,14749,240,496142,10,3,27,7,14,0,5,5,36,18,132,4,5,30,4,0,0,169,64,7,0.333333333333333,0,1,0
"20100000291486630",0,0,1,6463,166,162519,9,3,22,6,15,0,4,2,42,22,78,0,6,9,2,0,0,122,40,4,0.666666666666667,0,1,1
"20100000404860470",0,0,1,10903,117,300007,10,4,23,7,12,7,2,1,28,18,39,0,8,11,2,2,5,85,30,2,1,1,1,1
"20100006432365430",0,0,1,7976,155,196164,11,4,25,7,15,4,3,2,40,18,59,2,9,15,2,2,2,120,33,2,0.666666666666667,0,1,1
"20100007011166932",0,0,1,43086,129,340625,9,3,26,6,15,0,6,5,27,21,48,0,8,10,3,0,0,107,20,2,1,1,1,1
"20100007445515820",0,0,1,0,196,121283,7,3,22,6,12,0,0,0,44,20,101,0,11,17,2,0,0,145,49,2,0.666666666666667,0,1,1
"20100008103581056",0,0,1,14070,131,549450,9,4,23,6,15,11,2,0,31,20,45,0,9,10,2,2,9,101,28,2,1,1,1,1
"20100008262217530",0,0,1,14584,118,272752,9,3,24,6,12,0,5,3,27,18,46,0,8,8,2,0,0,82,34,2,1,1,1,1
"20100008572266050",0,0,1,16164,163,350369,11,4,27,6,17,6,8,5,30,23,59,6,6,16,3,2,4,123,38,2,0.666666666666667,0,1,1
"20100009003806170",0,0,1,8649,154,170488,9,3,21,6,13,0,4,2,36,27,70,0,5,7,2,0,0,117,35,2,1,1,1,1
"20100009303098716",0,0,1,35634,125,285339,11,4,22,6,12,4,7,1,30,18,45,1,5,11,2,2,2,96,27,2,0.666666666666667,0,1,1
"20100009314461780",1,0,1,15478,142,273757,11,4,27,6,15,4,5,3,30,18,55,2,9,11,4,2,2,113,27,2,1,1,1,1
"20100009385330468",0,0,1,21983,192,199758,9,3,22,7,12,0,4,2,34,24,102,0,5,17,3,0,0,143,47,2,1,1,1,1
"20100009560590796",0,0,1,48467,204,313225,10,4,23,6,12,10,8,6,31,18,87,0,6,35,2,2,8,131,71,2,0.666666666666667,0,1,1
"20100010540710908",0,0,0,5855,110,142007,8,3,22,6,13,0,3,0,32,19,40,0,6,7,2,0,0,84,22,4,1,1,1,1
"20100010554738616",0,0,1,13041,154,371043,10,4,26,7,16,7,3,0,28,21,65,3,9,15,2,0,7,119,33,2,0.666666666666667,0,1,1
"20100011003256550",0,0,1,12597,159,197218,10,3,22,6,13,0,3,1,36,18,74,1,6,17,2,0,0,120,37,2,1,1,1,1
"20100011033647636",0,0,1,15450,175,313898,11,4,28,7,16,7,5,1,26,19,88,4,8,13,3,0,7,135,37,3,1,1,1,1
"20100011050028640",1,0,0,26494,146,1007222,11,4,27,7,15,3,3,2,28,19,64,5,5,14,2,0,3,116,28,2,1,1,1,1
"20100011274731204",0,0,0,10606,224,159833,11,4,25,6,13,6,6,1,46,21,123,1,5,11,3,0,6,166,53,5,0.666666666666667,1,1,0
"20100011290663880",0,0,1,20074,126,312663,10,4,23,6,12,9,5,1,28,18,40,0,8,14,2,2,7,91,33,2,0.666666666666667,0,1,1
"20100011394713344",0,0,1,26523,161,233145,9,4,23,6,12,11,7,0,30,18,79,0,6,7,2,3,8,111,47,3,1,1,1,1
"20100011571871700",1,1,1,30493,119,284160,10,3,26,6,17,0,6,2,27,22,42,2,8,7,2,0,0,93,24,2,1,1,1,1
"20100012014517956",0,0,1,14467,133,218380,10,3,28,6,18,0,4,2,28,20,55,3,9,9,2,0,0,99,32,2,1,1,1,1
"20100012035069724",0,0,1,43321,206,352264,11,4,29,7,17,3,9,1,29,22,113,4,8,13,3,0,3,173,30,3,1,1,1,1
"20100012363755750",0,0,1,19028,133,334453,10,3,25,7,16,0,5,3,29,19,45,2,15,11,3,0,0,107,24,2,1,1,1,1
"20100012471966900",1,1,1,23174,140,241366,10,4,21,6,12,2,2,1,33,18,64,0,6,11,2,0,2,104,31,5,0.666666666666667,0,1,1
"20100012492111156",0,0,1,43833,151,389006,9,3,22,6,13,0,5,3,34,18,67,0,9,12,2,0,0,115,33,3,0.666666666666667,0,1,1
"20100012495345730",0,0,1,19171,164,311728,11,4,30,7,19,2,7,4,29,21,63,5,9,21,2,0,2,127,35,2,0.666666666666667,0,1,1
"20100012523954740",1,1,1,18154,152,247631,10,4,25,7,16,2,7,0,34,23,62,2,5,14,2,0,2,117,30,5,0.666666666666667,0,1,1
"20100012540000424",0,0,1,13819,149,1366231,10,3,23,6,15,0,2,2,32,22,70,4,6,7,3,0,0,118,29,2,1,1,1,1
"20100012562027690",0,0,1,16176,161,153859,10,4,23,6,12,4,5,5,38,18,71,0,8,9,2,0,4,123,33,5,0.666666666666667,0,1,1
"20100013054800856",0,0,1,5462,150,909118,11,4,23,6,15,3,5,4,31,27,54,1,9,12,3,0,3,111,37,2,0.666666666666667,0,1,1
"20100013062325450",0,0,1,37708,148,444303,11,4,28,7,17,2,6,1,28,25,53,3,8,19,2,0,2,122,24,2,1,1,1,1
"20100013123715416",0,0,1,4838,130,212488,9,5,23,6,14,5,3,0,31,19,51,0,9,9,2,2,3,100,27,3,1,1,1,1
"20100013473331852",1,0,1,48340,171,512748,11,4,29,7,17,5,5,6,26,22,88,5,5,6,2,0,5,135,33,3,1,1,1,1
"20100013511751244",0,0,1,11994,117,195877,10,4,21,6,11,4,4,2,25,18,50,0,5,6,2,0,4,88,27,2,1,1,1,1
"20100014024611770",1,0,1,11601,116,324466,10,5,25,6,14,3,4,1,26,20,39,0,8,12,2,2,1,87,27,2,1,1,1,1
"20100014035994700",0,0,1,43104,163,328258,10,4,26,7,16,4,10,0,29,22,63,2,5,25,2,0,4,112,49,2,1,1,1,1
"20100014151142000",0,0,1,11037,141,464268,11,4,24,6,15,2,3,4,32,19,63,1,6,8,2,0,2,103,34,4,1,1,1,1
"20100014154454230",0,0,1,0,218,108875,8,3,26,6,15,0,0,0,48,19,128,1,6,13,2,0,0,166,49,3,1,1,1,1
"20100014211946468",0,1,0,23246,207,698907,11,4,29,7,18,14,9,6,25,24,89,2,8,26,3,2,12,131,74,2,1,1,1,1
"20100014511488036",0,1,1,16280,238,400818,9,3,27,7,20,0,7,0,31,30,123,2,9,33,2,0,0,175,61,2,1,1,1,1
"20100015040218188",0,0,1,9443,138,192572,10,3,24,6,13,0,4,1,30,18,64,1,8,9,2,0,0,96,40,2,1,1,1,1
"20100015125877780",1,1,1,35617,129,211842,10,4,23,6,12,3,7,1,33,18,49,0,6,9,2,3,0,97,29,3,1,1,1,1
"20100015283382064",1,1,1,30737,187,342885,11,4,27,6,15,4,5,5,36,20,85,1,12,16,2,0,4,160,24,3,1,1,1,1
"20100015580955656",1,0,1,12898,113,384558,11,4,23,6,14,6,4,1,33,18,29,1,9,9,2,2,4,90,21,2,1,1,1,1
"20100015595709668",0,0,1,21182,190,190378,9,3,24,6,13,0,5,4,33,20,112,0,5,8,2,0,0,140,48,2,1,1,1,1
"20100016032214516",1,0,1,13151,220,380108,11,4,28,7,18,7,3,1,30,25,119,5,12,15,2,2,5,181,37,2,1,1,1,1
"20100016060832892",0,0,1,14511,155,180248,10,4,22,6,12,3,5,2,32,18,73,0,8,11,2,0,3,120,31,4,0.666666666666667,0,1,1
"20100016070249504",0,0,1,7430,128,181445,8,3,23,6,15,0,3,0,30,26,52,0,5,9,2,0,0,97,28,3,1,1,1,1
"20100016190952620",1,0,1,45378,162,398634,9,3,26,6,14,0,5,1,32,22,82,0,8,9,2,0,0,113,47,2,0.666666666666667,0,1,1
"20100016263918300",1,0,1,9134,200,597930,11,4,27,7,15,9,2,1,33,22,88,2,6,32,4,2,7,144,54,2,1,1,1,1
"20100016265132170",0,0,1,27471,111,359916,10,3,26,6,15,0,6,4,27,18,34,3,8,8,2,0,0,88,21,2,1,1,1,1
"20100017041691464",0,0,1,9270,110,267991,9,4,22,6,13,8,2,0,32,18,31,0,9,7,2,2,6,86,22,2,1,1,1,1
"20100017174504320",0,0,1,14170,112,459427,10,4,23,6,15,2,3,0,28,19,42,2,6,7,2,0,2,87,23,2,0.666666666666667,0,1,1
"20100017221780384",0,0,1,40642,216,507692,11,4,28,7,18,14,6,2,30,27,105,8,6,15,2,0,14,163,50,3,0.666666666666667,0,1,1
"20100017254481760",0,0,1,0,297,397599,9,4,25,7,14,6,0,0,40,22,188,2,8,28,2,0,6,208,77,12,0.666666666666667,0,1,1
"20100017263056424",0,0,1,15774,209,256766,11,4,27,7,16,14,3,1,33,21,110,3,9,10,4,2,12,164,42,3,1,1,1,1
"20100017310338576",0,0,1,9552,225,2927934,11,4,26,6,16,8,3,1,42,35,90,4,12,26,3,0,8,183,40,2,1,1,1,1
"20100018164106616",1,0,1,9301,145,255206,11,4,28,7,18,2,3,2,30,26,63,5,5,6,2,0,2,111,32,2,1,1,1,1
"20100018271998800",0,0,1,7730,118,184596,9,3,23,6,13,0,2,0,33,18,37,1,11,13,2,0,0,98,18,2,1,1,1,1
"20100018303409816",1,1,1,31219,156,43707118,10,3,26,7,16,0,6,1,31,27,58,3,9,17,3,0,0,125,27,4,1,1,1,1
"20100018421509572",0,0,1,12235,144,302762,10,3,24,6,13,0,3,3,36,19,63,2,6,9,2,0,0,114,28,2,0.666666666666667,0,1,1
"20100019111032050",0,0,1,13977,168,141546,11,4,26,7,16,4,6,2,38,21,64,2,12,16,2,0,4,131,35,2,1,1,1,1
"20100019210476400",0,0,1,26624,127,369099,10,3,25,6,13,0,7,2,25,18,55,1,8,8,2,0,0,92,33,2,1,1,1,1
"20100019232709284",0,0,1,27654,162,291061,11,6,23,7,13,14,6,1,33,18,68,1,6,12,2,4,10,121,39,2,1,1,1,1
"20100019573083920",0,1,0,23031,215,127418,10,3,23,6,13,0,5,1,56,19,108,1,6,15,3,0,0,164,47,4,1,1,1,1
"20100020002294336",0,0,0,0,185,147932,8,4,23,6,11,4,0,0,42,18,104,0,5,9,2,2,2,142,41,2,0.666666666666667,0,1,1
"20100020040089776",1,1,1,5799,156,113701,10,4,23,6,13,3,4,3,39,21,67,0,6,9,3,0,3,111,39,6,1,1,1,1
"20100020122406090",1,0,1,7936,118,192790,11,4,28,6,17,2,4,3,26,20,42,4,5,9,2,0,2,92,24,2,1,1,1,1
"20100020201084828",0,0,1,43036,179,346523,11,4,28,7,17,4,6,3,28,22,61,5,11,35,3,0,4,124,53,2,0.666666666666667,1,1,0
"20100020201560770",1,1,0,14786,283,476368,11,4,25,6,15,6,7,2,33,19,45,1,9,157,3,2,4,107,174,2,1,1,1,1
"20100020512263948",0,1,1,93037,157,367659,10,3,27,6,16,0,7,2,31,20,73,2,9,10,2,0,0,118,37,2,1,1,1,1
"20100021100648030",1,0,1,15937,132,464623,10,3,23,6,15,0,3,1,30,19,54,1,9,12,2,0,0,86,44,2,1,1,1,1
"20100022495909980",0,0,1,0,224,315303,8,3,26,7,17,0,0,0,32,20,121,3,9,33,5,0,0,178,42,4,1,1,1,1
"20100023124078624",0,0,0,26042,143,239970,11,4,27,6,14,2,7,5,31,18,53,2,9,12,3,0,2,103,38,2,0.666666666666667,0,1,1
"20100023464644676",0,0,1,6562,146,202421,9,3,23,6,13,0,2,2,27,19,68,0,11,14,2,0,0,112,32,2,1,1,1,1
"20100106475056520",0,0,1,9866,163,300334,11,4,27,7,16,5,4,1,28,20,70,3,11,18,2,0,5,127,32,4,0.666666666666667,0,1,1
"20100107064152736",1,0,0,14509,170,171703,10,3,24,6,14,0,8,1,36,20,73,3,8,18,2,0,0,124,41,5,1,1,1,1
"20100107145631690",1,1,1,35750,263,432488,11,4,25,7,13,6,10,4,30,19,135,1,5,50,2,2,4,163,95,5,1,1,1,1
"20100107482652664",0,0,1,20619,160,320937,10,3,24,6,14,0,10,3,29,19,55,1,8,32,2,0,0,107,51,2,1,1,1,1
"20100107485528388",0,0,1,11266,144,305859,10,3,27,7,17,0,5,3,31,24,51,3,12,12,2,0,0,114,27,3,0.333333333333333,0,1,0
"20100107574055690",0,1,0,19489,198,184433,10,3,23,6,14,0,5,4,31,22,110,1,8,14,2,0,0,140,51,7,1,1,1,1
"20100108074945404",0,0,1,34072,175,389387,11,4,24,7,15,7,9,2,30,23,61,3,5,32,2,2,5,122,51,2,0.666666666666667,0,1,1
"20100108173056344",1,0,1,19349,174,287303,10,4,24,7,15,5,7,0,29,23,81,5,5,16,2,3,2,131,41,2,1,1,1,1
"20100108204085468",0,0,0,26403,170,601674,11,4,26,6,17,4,4,2,33,21,82,1,9,10,3,2,2,123,36,11,0,0,0,0
"20100108233796816",1,1,1,10219,128,193684,9,3,22,6,11,0,3,2,30,18,57,0,5,10,2,0,0,93,33,2,1,1,1,1
"20100108361406030",0,0,1,13826,137,258093,10,4,24,6,13,2,4,6,32,18,44,0,12,16,2,0,2,107,28,2,1,1,1,1
"20100108383025864",0,1,1,9090,175,220278,10,3,25,7,16,0,4,1,43,21,80,2,9,11,3,0,0,123,50,2,1,1,1,1
"20100108394183868",0,0,0,10986,137,329871,10,3,24,7,14,0,4,2,29,19,61,3,5,10,3,0,0,99,36,2,1,1,1,1
"20100108401566970",0,0,0,11845,111,810420,10,4,22,6,13,6,3,1,32,18,29,0,9,10,2,2,4,87,22,2,0.333333333333333,0,1,0
"20100108432199556",1,1,1,10165,145,1756062,10,3,24,7,15,0,2,2,36,24,61,3,6,7,3,0,0,110,31,4,1,1,1,1
"20100108440880468",1,0,1,38540,201,375110,11,4,30,7,16,3,6,3,28,19,91,6,8,34,2,0,3,148,51,2,1,1,1,1
"20100108444190744",0,0,1,49969,164,379093,11,4,24,6,14,2,7,3,29,18,59,1,9,32,3,0,2,102,57,5,1,1,1,1
"20100108470637852",0,0,1,36024,146,321899,10,4,21,6,13,9,8,1,30,20,55,0,6,14,2,2,7,102,42,2,0.666666666666667,0,1,1
"20100108492847064",0,0,1,39307,154,372261,10,3,29,7,18,0,5,5,26,21,72,3,8,11,2,0,0,128,24,2,1,1,1,1
"20100108495321150",0,0,1,9718,133,200003,10,4,21,6,12,2,5,2,31,18,58,0,6,8,2,0,2,94,34,5,1,1,1,1
"20100108534216284",0,1,0,7876,180,210936,9,3,24,6,14,0,2,4,34,21,96,0,6,13,3,0,0,123,50,7,1,1,1,1
"20100108555032970",0,0,1,13184,117,249950,10,4,21,6,11,2,3,1,26,18,50,0,5,9,2,0,2,85,30,2,1,1,1,1
"20100108562170828",0,0,1,35049,141,279186,9,3,23,6,13,0,3,3,30,21,60,0,6,15,2,0,0,104,35,2,1,1,1,1
"20100108574283104",0,0,1,34682,143,291160,10,3,25,7,14,0,11,3,28,19,58,2,5,14,2,0,0,106,35,2,1,1,1,1
"20100108581646460",0,0,1,25969,110,834038,10,3,25,6,16,0,6,2,25,23,38,2,5,6,2,0,0,86,22,2,1,1,1,1
"20100108591155856",0,1,1,7390,151,216847,10,3,25,6,15,0,3,4,42,21,58,1,9,9,3,0,0,122,27,2,1,1,1,1
"20100109004299012",0,0,1,15090,162,209887,10,3,26,6,15,0,7,2,32,20,75,3,8,12,2,0,0,126,31,5,1,1,1,1
"20100109034836400",0,0,1,6869,137,266023,11,4,24,6,15,2,2,2,30,19,64,2,6,6,3,0,2,102,32,3,1,1,1,1
"20100109102870652",0,0,1,6658,170,264589,9,3,21,6,12,0,2,1,35,18,96,0,6,8,3,0,0,115,53,2,1,1,1,1
"20100109151447104",0,0,0,36699,169,506905,10,4,28,7,18,7,6,0,32,23,71,2,9,16,2,3,4,134,33,2,0.666666666666667,0,1,1
"20100109162353624",0,0,0,11050,198,187372,9,3,23,6,13,0,6,1,45,20,99,0,10,14,2,0,0,146,50,2,1,1,1,1
"20100109172665050",0,0,1,69607,178,270247,10,3,26,6,14,0,6,3,32,18,90,2,9,15,2,0,0,130,46,2,1,1,1,1
"20100109184696350",1,1,1,31061,198,385112,11,4,23,6,14,6,5,1,29,19,99,1,8,19,10,0,6,138,58,2,0.666666666666667,0,1,1
"20100109251233292",0,1,1,6631,147,212112,9,3,23,6,12,0,2,3,39,19,65,0,6,10,2,0,0,112,33,2,1,1,1,1
"20100109284899504",0,0,1,22571,122,244351,10,3,26,6,14,0,4,1,28,21,51,2,5,7,2,0,0,96,24,2,1,1,1,1
"20100109301649708",0,0,1,14685,212,286466,10,4,26,7,11,5,8,3,29,18,116,0,5,25,2,0,5,153,57,2,1,1,1,1
"20100109343643120",0,0,1,11703,121,220393,11,4,23,6,15,6,5,3,30,24,31,3,6,10,2,2,4,95,24,2,1,1,1,1
"20100109380136844",0,0,1,15225,208,335561,9,3,24,6,14,0,9,5,31,28,116,0,5,11,2,0,0,144,42,22,0.666666666666667,0,1,1
"20100109431710736",0,0,1,26045,140,268361,11,4,27,7,15,2,5,4,33,18,50,2,9,14,2,0,2,105,33,2,0.666666666666667,0,1,1
"20100109441471076",0,0,1,19148,178,335402,10,4,23,6,12,6,8,4,32,21,59,0,5,40,2,2,4,110,66,2,0.333333333333333,0,1,0
"20100109452581744",0,0,1,34391,154,396464,10,3,25,7,16,0,5,3,33,20,68,3,9,10,2,0,0,114,37,3,0.666666666666667,0,1,1
"20100109470804544",0,0,1,21645,497,573390,10,4,27,7,17,4,12,0,37,30,220,8,9,174,2,0,4,271,204,22,0.666666666666667,0,1,1
"20100109514699030",0,0,1,26171,191,328435,11,4,29,7,17,5,4,1,28,20,82,3,8,37,2,0,5,132,57,2,0.666666666666667,0,1,1
"20100109594661570",1,0,1,31033,174,203671,10,4,24,6,13,2,6,1,37,21,91,0,5,8,2,0,2,129,40,5,1,1,1,1
"20100109595390890",0,0,1,25593,172,553861,11,4,31,7,18,6,4,3,26,22,85,6,8,9,2,2,4,144,26,2,1,1,1,1
"20100110025276096",0,1,0,43604,160,455666,10,3,29,7,19,0,7,3,34,20,63,5,9,16,2,0,0,119,39,2,1,1,1,1
"20100110044069460",0,0,1,7819,177,141978,10,4,22,6,12,2,4,3,37,18,89,0,8,13,2,0,2,131,44,2,0.666666666666667,0,1,1
"20100110073981440",0,0,1,25888,149,329161,11,4,26,7,15,2,4,2,28,18,59,4,9,20,2,0,2,106,41,2,1,1,1,1
"20100110082132976",0,0,1,10492,168,381748,11,4,25,6,14,2,4,3,27,18,81,2,8,20,2,0,2,110,56,2,0.666666666666667,0,1,1
"20100110093663916",0,0,1,7707,163,143765,10,3,23,6,14,0,2,2,48,18,73,2,6,9,2,0,0,123,33,7,0.666666666666667,0,1,1
"20100110125009530",0,0,1,8048,166,197260,11,4,25,7,14,2,4,3,45,18,70,3,6,11,3,2,0,126,36,4,0.666666666666667,0,1,1
"20100110144313116",0,0,1,23038,124,330983,11,4,29,7,16,8,5,3,26,20,38,3,8,10,2,4,4,93,29,2,1,1,1,1
"20100110164955216",0,0,1,20374,140,358420,10,4,27,7,15,6,7,0,27,18,44,8,8,19,2,2,4,102,36,2,1,1,1,1
"20100110165348344",0,0,1,0,137,245307,9,4,24,7,12,4,0,0,28,18,69,1,5,9,2,0,4,100,35,2,1,1,1,1
"20100110175762076",0,0,1,9542,137,236824,11,4,26,6,15,4,3,3,29,18,54,2,9,12,2,0,4,103,32,2,1,1,1,1
"20100110182910332",0,0,1,18849,167,177508,11,4,28,6,16,9,7,3,26,20,80,2,8,9,2,3,6,111,54,2,1,1,1,1
"20100110184862076",0,0,1,12609,133,213658,10,3,24,6,14,0,4,1,35,18,53,1,9,9,2,0,0,99,32,2,0.333333333333333,0,1,0
"20100110185256384",0,0,1,5339,130,165673,11,4,24,6,13,2,5,2,27,18,55,1,8,9,2,0,2,91,37,2,1,1,1,1
"20100110203815060",0,0,1,8880,141,154851,10,3,27,7,15,0,5,2,32,19,50,5,9,16,2,0,0,108,31,2,1,1,1,1
"20100110204440016",0,0,1,18196,173,294329,11,4,27,6,14,9,6,3,28,18,77,3,8,18,2,2,7,134,37,2,0.333333333333333,0,0,1
"20100110240923344",0,0,1,10333,172,218299,9,3,23,6,13,0,7,2,26,19,68,0,8,39,2,0,0,95,75,2,1,1,1,1
"20100110244127932",0,0,1,8841,123,258369,9,3,22,6,14,0,3,4,36,21,36,0,6,13,3,0,0,92,26,5,1,1,1,1
"20100110282243428",0,0,1,18518,220,360983,11,4,30,7,19,3,7,3,27,26,119,4,11,17,2,0,3,184,34,2,0.666666666666667,0,1,1
"20100110283943724",0,0,1,22126,190,360299,11,4,30,7,19,9,6,2,33,28,71,5,9,24,2,2,7,144,44,2,0.666666666666667,0,1,1
"20100110292895384",0,0,1,9274,154,180683,9,3,22,6,12,0,6,2,34,18,71,0,8,12,2,0,0,106,44,4,1,1,1,1
"20100110312175628",0,0,0,9695,168,253764,10,4,23,6,14,10,4,2,26,25,79,0,5,14,2,0,10,119,47,2,1,1,1,1
"20100110332615344",0,0,0,28893,336,6179801,10,3,25,7,14,0,14,6,77,42,142,2,12,35,4,0,0,255,75,6,0.666666666666667,0,1,1
"20100110373886400",0,0,1,36743,148,294899,10,3,30,7,19,0,7,1,32,19,60,5,9,12,2,0,0,119,27,2,1,1,1,1
"20100110411908996",0,0,1,21922,130,224180,11,4,24,7,13,7,6,2,30,18,47,1,8,8,2,2,5,99,29,2,1,1,1,1
"20100110453807850",0,0,1,60819,131,429208,11,4,24,7,15,8,5,2,28,19,43,3,6,14,2,2,6,99,30,2,0.666666666666667,0,1,1
"20100110472592492",0,0,1,17986,129,398066,10,4,24,6,14,10,7,1,31,20,37,0,9,10,3,2,8,99,27,3,1,1,1,1
"20100110484589160",0,0,0,14787,144,193780,10,3,27,6,16,0,5,2,41,18,53,3,9,10,2,0,0,116,26,2,1,1,1,1
"20100110522225750",0,1,0,12015,142,198233,11,4,27,7,15,3,4,5,31,19,61,3,5,8,2,0,3,105,35,2,1,1,1,1
"20100110531537424",0,0,1,17813,141,220219,11,4,26,7,14,2,5,2,27,18,55,4,8,17,2,0,2,107,32,2,1,1,1,1
"20100110555341692",0,0,1,9333,133,339131,11,4,26,6,14,9,5,2,27,19,40,4,8,16,2,2,7,98,33,2,1,1,1,1
"20100110593116576",0,0,1,12644,121,141332,11,4,24,7,13,8,5,2,27,18,38,1,8,11,2,0,8,93,24,4,0.666666666666667,0,1,1
"20100111014855890",0,0,1,12668,145,245890,9,3,23,6,14,0,4,0,30,19,71,1,8,8,3,0,0,112,31,2,1,1,1,1
"20100111065473908",0,0,1,17050,184,473672,10,4,28,7,18,2,2,0,33,24,88,9,6,17,2,0,2,144,38,2,0.666666666666667,0,1,1
"20100111072863550",1,0,1,5038,161,274336,11,4,25,6,16,7,4,1,34,28,64,1,9,9,3,2,5,128,31,2,0.666666666666667,0,1,1
"20100111111155972",1,0,1,12845,114,204724,10,3,24,6,14,0,4,2,31,18,38,1,9,8,2,0,0,88,24,2,1,1,1,1
"20100111112073250",0,0,1,14797,161,224519,11,4,25,6,15,2,5,1,34,21,76,1,8,10,2,0,2,123,35,3,0.666666666666667,0,1,1
"20100111131264296",0,0,1,19045,135,246992,10,3,24,6,13,0,3,3,33,18,57,1,6,10,3,0,0,97,36,2,1,1,1,1
"20100111134157064",0,0,1,11103,148,234311,11,4,25,7,12,3,6,2,27,18,64,1,5,19,2,0,3,100,43,5,0.666666666666667,0,1,1
"20100111134429080",0,0,1,41072,160,449989,10,4,22,6,12,8,5,2,30,18,76,0,8,10,2,0,8,119,39,2,1,1,1,1
"20100111144224450",0,0,1,5368,147,256050,11,5,22,6,13,7,4,1,25,19,73,1,5,9,2,2,5,107,38,2,1,1,1,1
"20100111185347184",0,1,0,37321,204,335753,11,4,30,7,19,8,8,3,28,25,101,3,8,17,2,2,6,157,44,3,1,1,1,1
"20100111262209730",0,0,1,7896,171,162348,10,3,24,6,13,0,4,3,42,18,80,1,8,12,2,0,0,118,51,2,1,1,1,1
