"session_id","fullscreen","hq","music","hover_duration","n_actions","elapsed_time","n_event_name","n_name","n_fqid","n_room_fqid","n_text_fqid","n_notebook_click","n_object_hover","n_map_hover","n_cutscene_click","n_person_click","n_navigate_click","n_observation_click","n_notification_click","n_object_click","n_map_click","n_page1","n_page2","n_page3","n_page4","n_page5","n_page6","n_page0","n_historicalsociety","n_kohlcenter","n_capitol","n_humanecology","n_drycleaner","n_library","n_wildlifecenter","n_flaghouse","correctness","q14","q15","q16","q17","q18","cp1","cp2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13"
"20100009385330468",0,0,1,70939,1119,1756061,11,5,57,16,40,18,13,72,79,155,695,5,10,33,38,0,0,1,8,0,9,0,587,71,48,58,28,75,198,54,0.6,0,0,1,1,1,1,0.2,1,1,1,0,0,0,1,0,1,0,0,0,0
"20100009560590796",0,0,1,39004,539,575682,11,4,55,12,33,2,18,23,60,105,285,4,8,24,9,0,0,0,0,2,0,0,296,0,15,0,0,61,127,40,0.8,1,1,0,1,1,0.666666666666667,0.9,0,1,1,1,1,1,0,1,1,1,1,1,1
"20100010540710908",0,0,0,16082,336,354556,10,3,49,13,31,0,8,12,65,99,123,4,6,12,6,0,0,0,0,0,0,0,197,0,8,0,0,36,68,27,0.6,0,1,0,1,1,1,0.6,1,1,1,1,0,1,1,1,0,0,1,1,0
"20100010554738616",0,0,1,39158,471,724032,11,4,54,12,34,11,16,19,61,103,225,4,8,17,6,0,0,0,2,9,0,0,238,0,8,0,0,38,159,28,0.8,1,0,1,1,1,0.666666666666667,0.5,0,1,1,1,1,0,0,1,1,0,0,1,0
"20100011003256550",0,0,1,22748,574,675690,11,5,54,13,36,5,15,16,53,108,328,5,9,24,10,0,0,0,2,1,2,0,359,0,22,0,0,55,108,30,1,1,1,1,1,1,1,0.3,1,1,1,1,0,1,0,0,1,0,0,0,0
"20100011033647636",0,0,1,74250,863,1039141,11,4,62,16,44,14,19,52,59,125,517,8,8,33,27,0,0,0,8,4,2,0,440,65,57,13,33,96,121,38,0.8,1,1,0,1,1,1,0.7,1,1,1,1,1,1,1,0,1,0,1,1,0
"20100011050028640",1,0,0,57817,771,923962,11,4,57,14,34,14,19,38,78,122,442,8,10,25,14,0,0,0,7,7,0,0,487,0,14,0,3,88,143,36,0.8,1,1,1,0,1,1,0.6,1,1,1,1,1,1,0,1,0,1,0,1,0
"20100011274731204",0,0,0,32219,824,1056684,11,4,53,13,40,32,16,46,56,122,494,5,6,37,9,0,0,0,8,14,10,0,432,0,31,0,0,70,233,58,0.6,1,0,1,0,1,0.666666666666667,0.3,1,1,0,1,0,0,0,0,0,0,1,1,0
"20100011290663880",0,0,1,38756,468,754722,11,4,52,12,34,31,10,25,78,128,157,4,8,14,12,0,0,0,4,15,12,0,230,0,12,0,0,46,152,28,1,1,1,1,1,1,0.666666666666667,0.7,0,1,1,1,1,1,1,0,1,0,1,1,0
"20100011394713344",0,0,1,29886,445,617173,11,5,53,12,31,35,15,17,58,99,185,3,8,16,8,0,0,0,8,11,16,0,257,0,9,0,0,48,95,36,0.8,1,0,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0,1,1
"20100011571871700",1,1,1,43003,424,1262511,10,3,54,13,32,0,18,19,77,144,126,4,8,18,9,0,0,0,0,0,0,0,228,0,18,0,0,42,101,35,0.8,1,1,1,0,1,1,0.7,1,1,1,1,1,1,1,1,1,0,0,1,0
"20100012014517956",0,0,1,35328,428,654074,10,3,56,14,37,0,17,6,59,129,179,5,8,16,8,0,0,0,0,0,0,0,229,0,13,0,0,40,121,25,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0
"20100012035069724",0,0,1,50600,409,670289,10,3,48,12,37,0,14,19,60,112,171,3,8,14,7,0,0,0,0,0,0,0,204,0,22,0,0,45,105,33,0.8,1,0,1,1,1,1,0.8,1,1,1,1,1,1,0,1,1,1,1,1,0
"20100012363755750",0,0,1,31152,392,645624,10,3,52,12,36,0,14,22,65,107,151,4,8,12,8,0,0,0,0,0,0,0,220,0,12,0,0,33,100,27,0.8,1,1,0,1,1,1,0.7,1,1,1,1,0,1,1,1,1,1,0,1,0
"20100012471966900",1,1,1,49200,702,1357223,11,5,63,16,40,22,34,53,55,119,345,6,12,34,21,0,0,4,8,4,6,0,439,0,23,7,13,49,131,40,0.6,0,0,1,1,1,0.666666666666667,0.4,0,1,1,0,0,0,1,0,0,1,1,1,0
"20100012492111156",0,0,1,56072,541,1204841,11,6,54,14,34,22,24,18,70,130,232,4,6,27,7,1,2,5,6,6,2,0,271,0,9,0,0,71,160,30,0.8,1,0,1,1,1,0.666666666666667,0.4,0,1,1,1,0,0,0,0,0,1,1,1,0
"20100012495345730",0,0,1,42304,432,651487,11,4,53,13,35,5,11,7,60,104,208,4,8,17,7,0,0,2,0,0,3,0,266,0,15,0,0,51,74,26,0.8,1,0,1,1,1,0.666666666666667,0.4,0,1,1,1,0,0,1,1,0,0,0,1,0
"20100012523954740",1,1,1,34371,785,644409,11,6,52,12,36,13,14,22,83,141,448,5,8,40,10,2,2,2,5,0,0,2,444,0,20,0,0,72,200,49,0.6,1,0,1,0,1,0.666666666666667,0.6,0,1,1,1,0,1,0,1,1,0,1,1,0
"20100012540000424",0,0,1,60315,433,3674869,11,5,51,13,36,5,15,20,55,113,182,3,10,20,9,0,0,1,2,2,0,0,216,0,17,0,0,43,130,27,0.6,0,1,1,0,1,1,0.6,1,1,1,1,0,1,1,1,1,0,0,1,0
"20100012562027690",0,0,1,28052,632,655412,11,4,53,13,33,32,19,23,75,158,284,3,9,21,7,0,0,0,10,12,10,0,299,0,6,0,0,64,233,30,0.8,1,1,1,0,1,0.666666666666667,0.7,0,1,1,0,1,0,0,1,1,1,1,1,1
"20100013054800856",0,0,1,65128,594,1215742,11,4,57,16,37,9,24,27,79,147,243,4,6,39,15,0,0,0,0,7,2,0,265,15,26,19,12,65,167,25,0.6,0,0,1,1,1,0.666666666666667,0.7,0,1,1,1,1,1,0,1,0,1,1,1,0
"20100013062325450",0,0,1,61735,643,1313809,11,6,64,14,40,23,23,20,75,140,269,5,9,67,11,0,0,6,9,8,0,0,346,0,20,18,0,77,124,58,0.4,0,0,1,0,1,1,0.4,1,1,1,0,1,0,1,1,0,0,0,1,0
"20100013123715416",0,0,1,32670,374,59886811,11,5,51,12,36,14,16,7,56,104,143,4,8,14,7,1,1,1,1,3,2,5,225,0,12,0,0,37,71,29,0.6,0,0,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0,1,1
"20100013473331852",1,0,1,84565,774,1659661,11,5,58,13,40,43,16,33,57,133,433,4,8,33,13,4,4,4,5,9,7,10,471,0,28,0,0,58,183,34,0.6,1,0,1,0,1,1,0.6,1,1,1,1,1,0,1,1,0,0,1,1,0
"20100013511751244",0,0,1,39601,388,609550,11,4,51,12,31,10,14,15,74,117,123,5,6,17,6,0,0,0,10,0,0,0,230,0,6,0,0,45,82,25,0.6,0,1,0,1,1,1,0.7,1,1,1,1,0,1,1,1,0,0,1,1,1
"20100014024611770",1,0,1,39113,347,609093,11,4,52,12,31,8,11,6,70,117,101,4,8,15,6,0,0,0,4,2,2,0,199,0,7,0,0,37,79,25,0.8,1,1,1,0,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0
"20100014035994700",0,0,1,39334,482,675332,10,3,52,13,32,0,16,20,77,118,217,4,8,12,9,0,0,0,0,0,0,0,269,0,9,0,4,44,128,28,0.8,0,1,1,1,1,1,0.6,1,1,1,1,1,0,1,0,0,1,1,1,0
"20100014151142000",0,0,1,41361,514,723319,11,5,53,13,35,21,16,20,74,147,193,4,10,19,9,1,1,2,2,7,6,2,268,0,9,0,0,59,132,46,0.6,0,0,1,1,1,1,0.7,1,1,1,1,1,0,0,1,1,1,1,1,0
"20100014154454230",0,0,1,0,709,894999,9,4,50,12,33,17,0,0,75,122,445,5,8,27,9,0,0,0,3,6,8,0,377,0,18,0,0,77,191,46,0.6,0,1,0,1,1,1,0.3,1,1,1,1,0,0,0,1,1,0,0,0,0
"20100014211946468",0,1,0,108875,1093,1469313,11,4,68,15,41,31,51,80,66,115,633,7,18,74,17,0,0,0,11,6,14,0,712,30,61,42,0,83,130,35,0.6,0,0,1,1,1,1,0.5,1,1,1,1,0,1,1,1,0,0,0,1,0
"20100014511488036",0,1,1,69151,742,964582,11,6,59,13,36,6,17,41,57,110,439,3,22,35,11,0,0,0,0,1,5,0,414,0,50,0,0,86,150,42,0.6,0,0,1,1,1,1,0.3,1,1,1,1,0,0,1,0,0,0,0,1,0
"20100015040218188",0,0,1,19401,327,407608,10,3,49,12,32,0,11,10,56,98,118,4,10,13,6,0,0,0,0,0,0,0,200,0,6,0,0,33,62,26,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,0,0,1,1,1,1
"20100015125877780",1,1,1,52685,592,651275,10,3,61,13,35,0,35,22,61,107,305,4,23,26,8,0,0,0,0,0,0,0,373,0,9,0,0,58,123,29,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,0,1,1,1
"20100015283382064",1,1,1,30821,545,640065,11,4,52,12,35,4,18,20,75,172,211,5,6,25,8,0,0,0,0,2,2,0,254,0,21,0,0,77,162,31,0.8,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20100015580955656",1,0,1,47679,408,1092665,11,4,52,12,34,6,20,24,73,123,131,4,8,12,6,0,0,0,2,2,2,0,223,0,10,0,0,43,101,31,0.4,1,0,0,0,1,1,0.8,1,1,1,1,1,1,1,0,1,1,1,1,0
"20100015595709668",0,0,1,30543,635,650567,10,3,53,13,36,0,16,17,79,129,354,4,8,17,10,0,0,0,0,0,0,0,295,0,30,0,0,95,174,41,0.6,1,0,1,0,1,1,0.8,1,1,1,1,1,1,1,0,1,1,1,0,1
"20100016032214516",1,0,1,54765,516,777692,11,4,51,13,33,28,18,19,79,123,201,3,8,24,12,0,0,0,10,6,12,0,294,0,16,0,4,57,113,32,0.8,1,1,1,0,1,1,0.7,1,1,1,1,1,1,1,0,1,0,1,1,0
"20100016060832892",0,0,1,45739,614,1122426,11,4,55,12,35,11,20,32,75,130,267,4,6,54,14,0,0,0,0,2,9,0,334,0,49,0,0,71,113,47,0.2,0,0,1,0,0,0.666666666666667,0.5,0,1,1,1,0,1,1,0,0,0,1,1,0
"20100016070249504",0,0,1,41302,499,819043,11,5,53,12,36,8,11,45,60,125,208,4,6,19,12,0,0,1,3,4,0,0,222,0,62,0,0,41,142,32,0.6,0,0,1,1,1,1,0.5,1,1,1,1,1,0,0,1,1,0,0,1,0
"20100016190952620",1,0,1,58133,393,847441,11,4,57,12,34,4,29,13,61,101,133,4,11,30,6,0,0,0,0,2,2,0,219,0,15,0,0,50,83,26,0.6,1,1,0,0,1,0.666666666666667,0.7,0,1,1,1,1,1,0,0,1,1,1,1,0
"20100016263918300",1,0,1,73734,849,2035143,11,6,63,16,41,35,28,56,55,131,410,4,9,80,40,3,3,3,4,10,0,12,340,27,55,31,26,171,152,47,0.6,0,0,1,1,1,1,0.2,1,1,1,0,0,0,0,1,0,0,1,0,0
"20100016265132170",0,0,1,69803,347,1833597,11,6,55,12,34,7,19,11,53,103,110,4,8,25,6,1,1,2,3,0,0,0,211,0,6,0,0,35,71,24,0.8,1,1,1,0,1,1,0.7,1,1,1,1,1,1,1,0,1,1,0,1,0
"20100017041691464",0,0,1,23263,360,583582,11,4,52,12,33,22,9,4,75,123,94,3,8,15,6,0,0,0,10,4,8,0,213,0,7,0,0,37,75,28,0.8,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20100017174504320",0,0,1,32641,376,1048320,11,4,52,13,30,4,19,11,53,104,146,9,6,17,6,0,0,0,2,2,0,0,237,0,9,0,0,32,70,28,0.8,0,1,1,1,1,0.666666666666667,0.6,0,1,1,1,0,1,0,1,1,0,1,1,0
"20100017221780384",0,0,1,132211,1994,2116223,11,4,74,16,43,50,50,114,78,178,1354,14,8,97,50,0,0,0,20,15,15,0,1120,66,111,96,67,190,284,60,0.2,0,0,0,0,1,0.666666666666667,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"20100017254481760",0,0,1,0,720,743670,8,3,48,12,36,0,0,0,71,161,443,3,8,27,6,0,0,0,0,0,0,0,390,0,26,0,0,70,196,38,0.6,1,0,0,1,1,0.666666666666667,0.3,0,1,1,0,1,0,1,1,0,0,0,0,0
"20100017263056424",0,0,1,47924,669,730034,11,4,57,14,39,34,19,45,77,136,283,3,8,50,13,0,0,0,18,8,8,0,377,0,36,0,17,76,129,34,0.4,0,0,1,0,1,1,0.8,1,1,1,0,1,1,0,1,1,1,1,1,1
"20100017310338576",0,0,1,51430,583,1490387,11,6,58,13,38,22,23,15,60,120,265,9,17,44,7,0,0,0,6,14,2,0,369,0,5,0,0,57,112,40,0.6,1,0,1,0,1,1,0.7,1,1,1,1,0,1,1,0,1,1,1,1,0
"20100018164106616",1,0,1,47911,555,1050736,11,6,60,15,34,28,16,42,75,122,224,7,6,15,19,2,2,2,8,2,8,4,341,0,27,4,8,43,106,26,0.6,0,0,1,1,1,1,0.6,1,1,1,0,1,0,1,1,0,1,1,1,0
"20100018271998800",0,0,1,22709,367,486982,10,3,53,12,32,0,13,6,76,118,117,4,8,17,7,0,0,0,0,0,0,0,211,0,9,0,0,39,84,24,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,0,1,1,1
"20100018303409816",1,1,1,63013,609,5314339,11,4,61,16,35,7,23,47,62,112,283,3,11,42,18,0,0,0,0,0,7,0,333,6,47,5,3,95,84,36,0.8,1,0,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0,1,1
"20100018421509572",0,0,1,122816,486,1102051,11,4,48,13,36,6,9,15,53,109,260,4,6,16,7,0,0,0,0,0,6,0,225,0,21,0,0,56,147,37,0.4,0,0,1,0,1,0.666666666666667,0.4,0,1,1,0,0,0,0,1,0,1,1,1,0
"20100019111032050",0,0,1,20211,505,366525,11,4,50,12,31,14,13,17,76,143,202,5,8,18,8,0,0,0,6,8,0,0,279,0,10,0,0,57,128,31,0.6,0,1,1,0,1,1,0.9,1,1,1,1,1,1,1,1,1,0,1,1,1
"20100019210476400",0,0,1,38291,517,825898,11,4,56,13,32,8,18,17,54,100,273,5,8,26,7,0,0,0,2,2,4,0,350,0,9,0,0,42,91,25,0.8,1,0,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,0,1,0
"20100019232709284",0,0,1,69142,743,976230,11,6,69,15,42,31,25,32,78,142,349,5,11,56,13,2,2,3,6,10,8,0,414,0,12,25,5,66,186,35,0.8,1,0,1,1,1,1,0.6,1,1,1,0,1,1,1,0,1,0,1,1,0
"20100019573083920",0,1,0,32889,812,563313,11,4,54,13,40,8,16,21,81,158,457,5,17,38,10,0,0,0,2,2,4,0,377,0,13,0,0,117,255,50,0.6,1,0,0,1,1,1,0.7,1,1,1,1,1,1,0,1,1,1,0,1,0
"20100020002294336",0,0,0,0,594,6093810,9,4,49,12,33,8,0,0,82,127,322,4,12,31,7,0,0,0,0,2,6,0,354,0,13,0,0,56,135,36,0.6,0,1,0,1,1,0.666666666666667,0.4,0,1,1,1,1,0,0,0,1,0,1,0,0
"20100020040089776",1,1,1,59712,712,1086323,11,4,65,16,39,16,20,32,61,109,403,8,16,31,15,0,0,0,6,0,10,0,448,0,32,13,7,57,128,27,0.8,1,1,0,1,1,1,0.5,1,1,1,0,0,1,1,0,1,1,0,1,0
"20100020122406090",1,0,1,104233,847,1256431,11,6,66,16,40,37,32,114,58,127,353,5,6,73,41,2,2,3,8,8,12,2,407,32,50,39,30,141,100,48,0.6,0,0,1,1,1,1,0.3,1,1,1,0,0,1,0,1,1,0,0,0,0
"20100020201084828",0,0,1,44219,542,789102,11,4,54,13,38,6,15,46,74,128,228,5,10,16,13,0,0,0,2,4,0,0,318,0,42,0,0,50,98,34,0.4,0,0,0,1,1,0.666666666666667,0.4,1,1,0,1,0,1,1,0,1,0,0,0,0
"20100020201560770",1,1,0,118017,524,1762387,11,4,61,15,37,25,24,40,60,121,179,3,6,34,31,0,0,0,4,11,10,0,275,34,18,16,0,58,94,29,0.8,1,1,1,0,1,1,0.4,1,1,1,0,0,0,1,1,0,0,1,1,0
"20100020512263948",0,1,1,34895,379,36766165,10,3,52,12,31,0,11,15,68,97,145,4,8,24,6,0,0,0,0,0,0,0,214,0,11,0,0,37,82,35,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0
"20100021100648030",1,0,1,33554,455,756631,11,4,52,12,29,2,18,4,79,117,196,3,8,21,6,0,0,0,0,2,0,0,275,0,7,0,0,42,103,28,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0,1,1
"20100022495909980",0,0,1,0,609,590256,9,4,54,14,36,19,0,0,66,106,352,5,8,42,10,0,0,0,8,6,5,0,404,0,8,0,0,51,111,35,0.6,0,0,1,1,1,1,0.5,1,1,1,1,0,1,1,0,1,0,0,1,0
"20100023124078624",0,0,0,37008,528,553981,11,4,52,12,38,2,14,33,56,121,254,3,11,19,14,0,0,0,0,2,0,0,254,0,59,0,0,60,118,37,0.6,1,0,0,1,1,0.666666666666667,0.7,0,1,1,1,0,0,0,1,1,1,1,1,1
"20100023464644676",0,0,1,25626,484,484862,10,3,52,12,34,0,19,17,63,108,226,7,8,27,8,0,0,0,0,0,0,0,289,0,19,0,0,57,88,31,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,0,1,1,0
"20100106475056520",0,0,1,32125,562,645554,11,4,56,13,35,15,18,18,77,122,269,6,8,19,9,0,0,0,4,2,9,0,342,0,38,0,0,57,96,29,0.6,1,0,1,0,1,0.666666666666667,0.8,0,1,1,1,0,1,1,1,1,1,1,1,0
